Stock,Date,Close/Last,Volume,Open,High,Low
SBUX,6/29/20,73.48,8653029,71.41,73.5,71.06
SBUX,6/26/20,71.57,17627840,73.63,73.77,71.25
SBUX,6/25/20,73.85,8624798,73.22,74.11,72.17
SBUX,6/24/20,73.64,12306430,74.9,74.92,72
SBUX,6/23/20,75.49,8076612,76.33,76.37,75.07
SBUX,6/22/20,75.4,8238636,74.9,75.65,73.92
SBUX,6/19/20,75.4,12527330,77.03,77.38,74.88
SBUX,6/18/20,76.31,8485970,76.72,76.79,75.8
SBUX,6/17/20,77.1,6906721,78.07,78.29,76.68
SBUX,6/16/20,77.84,10890110,78.79,78.94,76.39
SBUX,6/15/20,76.96,14651210,74.3,77.91,74.08
SBUX,6/12/20,76.38,18529830,75,76.72,73.81
SBUX,6/11/20,72.57,26422160,75.75,76.79,72.15
SBUX,6/10/20,79.01,19683810,79.88,80.03,78.2
SBUX,6/9/20,82.37,7999828,82.62,83.22,81.76
SBUX,6/8/20,83.56,10229590,83.08,83.62,82.18
SBUX,6/5/20,82.14,12030780,80.33,82.33,79.97
SBUX,6/4/20,78.74,7667564,79.31,80.17,78.47
SBUX,6/3/20,79.58,9956666,78.45,79.95,78.3
SBUX,6/2/20,77.78,9521014,77.97,78.26,76.79
SBUX,6/1/20,78.32,7936986,77.66,78.65,76.77
SBUX,5/29/20,77.99,10108990,78.62,78.64,77.26
SBUX,5/28/20,78.54,8333918,78.64,80.06,77.93
SBUX,5/27/20,78.6,8245290,78.98,78.98,77.39
SBUX,5/26/20,77.76,8422249,79.6,79.92,77.58
SBUX,5/22/20,77.62,7653305,77.9,78.05,76.52
SBUX,5/21/20,78.05,10312640,78.6,79.38,77.89
SBUX,5/20/20,77.76,7790481,77.23,77.84,76.52
SBUX,5/19/20,75.86,6484878,76.4,77.23,75.76
SBUX,5/18/20,76.23,8912473,76.86,77.5,76.2
SBUX,5/15/20,74.16,9489146,72.81,74.64,72.67
SBUX,5/14/20,74.19,11932250,72.32,74.29,70.65
SBUX,5/13/20,73.62,11532700,74.46,75.75,72.92
SBUX,5/12/20,74.35,8549922,76,76.73,74.34
SBUX,5/11/20,75.87,9004538,76.62,77.18,75.8
SBUX,5/8/20,77.87,11921830,77.25,77.93,75.76
SBUX,5/7/20,76,13369310,73.81,76.03,73.37
SBUX,5/6/20,72.96,12740910,73.77,74.85,72.86
SBUX,5/5/20,72.9,12976020,74.96,75.08,72.89
SBUX,5/4/20,71.89,12921800,72.58,72.62,71.26
SBUX,5/1/20,73.79,11216700,74.9,75.88,73.21
SBUX,4/30/20,76.73,15186030,76.83,77.64,75.19
SBUX,4/29/20,76.86,24575510,78.18,78.75,76.72
SBUX,4/28/20,78.69,12801390,78.67,79.61,76.96
SBUX,4/27/20,77.74,8258468,76.68,78.04,76.54
SBUX,4/24/20,75.58,8460619,75.75,76.03,74.21
SBUX,4/23/20,75.15,15513360,77.33,77.67,74.26
SBUX,4/22/20,77.45,11355290,74.55,78.06,74.43
SBUX,4/21/20,72.72,10345790,73.4,73.96,71.74
SBUX,4/20/20,75.32,9684741,76.02,76.98,75.09
SBUX,4/17/20,77.1,14268390,76.62,77.39,74.97
SBUX,4/16/20,73.51,11946810,73.11,73.76,71.35
SBUX,4/15/20,72.55,10642530,72.01,73.18,70.71
SBUX,4/14/20,73.67,10912000,73.69,74.33,72.66
SBUX,4/13/20,71.76,11191790,73.52,73.6,70.35
SBUX,4/9/20,73.88,19769560,71.2,74.26,70.14
SBUX,4/8/20,71.57,10417640,69.58,71.92,68.54
SBUX,4/7/20,68.71,13799400,71.57,72.48,68.34
SBUX,4/6/20,67.79,18010770,66.27,68.34,64.41
SBUX,4/3/20,63.05,14676460,64.47,64.75,60.9
SBUX,4/2/20,65,18175040,65.75,68.7,62.91
SBUX,4/1/20,62.62,12880410,63,64.76,61.58
SBUX,3/31/20,65.74,20109800,67.18,68.32,65.31
SBUX,3/30/20,67.86,14199720,66.56,68.22,64.58
SBUX,3/27/20,66.34,18950460,66.68,68.25,64.82
SBUX,3/26/20,69.9,21005280,66.71,71.58,66.25
SBUX,3/25/20,65.81,22977190,66.83,69.64,63.49
SBUX,3/24/20,64.88,28286190,62.61,65.16,61
SBUX,3/23/20,56.55,24905790,57.23,57.44,54
SBUX,3/20/20,58.03,28420580,62.3,65.68,57.91
SBUX,3/19/20,61.41,25167420,56.23,63.36,53.55
SBUX,3/18/20,56.33,28770620,55.55,57.65,50.02
SBUX,3/17/20,58.98,25045190,59.55,59.62,53.61
SBUX,3/16/20,58.59,23354350,60.63,63.95,58.11
SBUX,3/13/20,69.92,19247180,65.65,70.18,63.51
SBUX,3/12/20,62.1,25170630,62.95,66.79,61.46
SBUX,3/11/20,68.3,17161370,72.83,74.27,67.4
SBUX,3/10/20,74.87,18414050,72.56,74.95,70.03
SBUX,3/9/20,70.83,15930310,70.58,74.03,70.08
SBUX,3/6/20,75.34,18080150,73.46,75.71,72.05
SBUX,3/5/20,76.19,12545270,77.9,77.9,75.28
SBUX,3/4/20,79.67,10999610,79.29,80.2,77.88
SBUX,3/3/20,78.6,12395890,82.3,82.62,78.11
SBUX,3/2/20,82.38,14258680,77.92,82.41,77.66
SBUX,2/28/20,78.43,19120250,76.17,78.81,75.72
SBUX,2/27/20,78.29,17120830,78.83,80.87,77.36
SBUX,2/26/20,80.67,10549300,82.6,83.24,80.64
SBUX,2/25/20,82.19,9403953,85.02,85.35,81.67
SBUX,2/24/20,84.52,8313643,84.53,86.05,84.26
SBUX,2/21/20,87.36,5801705,88,88.39,87
SBUX,2/20/20,88.6,5969200,89.73,90.25,87.73
SBUX,2/19/20,90.14,5210834,89.49,90.44,89.3
SBUX,2/18/20,89.23,5291147,89.37,89.47,88.29
SBUX,2/14/20,89.28,5686868,90.18,90.41,88.99
SBUX,2/13/20,89.93,8576615,88.5,90.51,88.26
SBUX,2/12/20,88.57,7747787,87.71,89.1,87.39
SBUX,2/11/20,87.51,5098622,87.86,88.23,87.35
SBUX,2/10/20,87.53,7289281,86.43,87.62,86.17
SBUX,2/7/20,86.42,8073908,85.76,86.62,85.32
SBUX,2/6/20,86.15,8901403,87.65,87.7,86.15
SBUX,2/5/20,87.56,9982673,88.88,89.2,86.63
SBUX,2/4/20,88.38,9997071,87.14,89,86.62
SBUX,2/3/20,86.01,9092620,85.07,86.79,85.07
SBUX,1/31/20,84.83,11693900,85.79,85.99,84.52
SBUX,1/30/20,85.84,12224940,85.45,86.59,84.69
SBUX,1/29/20,86.72,17703900,88.15,88.44,85.6
SBUX,1/28/20,88.6,11922400,89.05,89.19,87.72
SBUX,1/27/20,88.73,11066490,88.63,89.45,87.55
SBUX,1/24/20,92.03,7815501,94,94.13,91.34
SBUX,1/23/20,93.75,6100777,91.92,93.85,90.74
SBUX,1/22/20,92.53,6157412,93.14,93.75,92.47
SBUX,1/21/20,92.53,7094559,92.83,93.6,92.19
SBUX,1/17/20,93.62,6962787,92.93,93.75,92.81
SBUX,1/16/20,92.58,5180320,91.99,92.61,91.63
SBUX,1/15/20,91.54,6145518,91,92.06,91
SBUX,1/14/20,90.99,5855400,91.19,91.44,90.86
SBUX,1/13/20,91.08,7382968,90.62,91.72,90.21
SBUX,1/10/20,90.16,7098085,90.8,90.89,89.63
SBUX,1/9/20,90.53,9450166,90.25,91.16,90.07
SBUX,1/8/20,88.88,7297235,87.94,89.35,87.78
SBUX,1/7/20,87.86,6533541,87.96,88.03,87.13
SBUX,1/6/20,88.13,5409850,88.11,88.41,87.47
SBUX,1/3/20,88.83,4874916,88.66,89.1,88.1
SBUX,1/2/20,89.35,6475843,88.12,89.35,88.05
